Label,Hours
Telecom - Work Force Integration,"[6.0, 40.5]"
Telecom - Voicemail to Email issues,"[0.15, 1.0, 0.57, 3.73, 3.98, 1.04, 10.94, 3.0, 1.5, 3.0, 3.71]"
Telecom - One X Communicator,"[8.0, 4.5, 2.31, 1.48, 7.92, 10.94, 3.4, 8.0]"
Telecom - IVR / Queue /Phone Tree,"[6.71, 2.96, 3.44, 0.98]"
Telecom - Agent Desktop,"[1.75, 15.71]"
Telecom - General Queries,"[3.0, 85.0, 245.5, 128.5, 1.33, 278.0, 1.69]"
Telecom - One Way Audio Issues,"[7.09, 2.46, 2.96, 2.0]"
Telecom - Session Initiation Protocol (SIP),"[0.48, 4.5, 2.48]"
Telecom - New Mail Box,"[2.5, 1.0, 2.48, 1.5, 2.94, 1.98, 4.98, 2.96, 1.48, 2.96, 3.5, 3.96, 0.98, 17.0, 1.0, 2.5]"
Telecom - Work scheduling,"[3.5, 4.73, 5.0, 9.5, 0.25, 1.0, 1.0]"
Telecom - Card Failure,"[3.0, 3.69]"
Telecom - One X Agent,[5.05]
Telecom - Media Gateway,"[3.46, 3.5, 0.5, 2.98, 2.0, 22.0]"
Telecom - Skill Mapping,"[3.0, 1.0, 2.0, 2.0, 3.0, 2.0]"
Telecom - Others,[1.98]
Telecom - IP Soft phone,"[2.0, 2.08]"
Telecom - Hunt Group,"[3.44, 2.98]"
Telecom - Recording Issues,[1.4]
Telecom - Recording solutions Integrations,[3.0]
